"id","dz_user_id","dz_artist_id"
"12","13963471","97"
"13","14534640","97"
"14","14867066","97"
"15","15255324","97"
"16","15510987","97"
"17","15700887","97"
"18","15995006","97"
"19","16207284","97"
"20","16376171","97"
"21","16607000","97"
"22","17235796","97"
"23","17376872","97"
"24","17430229","97"
"25","18610350","97"
"26","19097216","97"
"27","19313877","97"
"28","19445255","97"
"29","20556031","97"
"30","21017731","97"
"31","21454934","97"
"32","26478431","97"
"33","30067601","97"
"34","38071751","97"
"35","43657801","97"
"36","44432041","97"
"37","58294391","97"
"142","39","102"
"144","278","102"
"145","544","102"
"146","1097","102"
"147","1116","102"
"148","1208","102"
"149","1214","102"
"150","1594","102"
"151","1893","102"
"152","1992","102"
"153","2614","102"
"154","3544","102"
"155","4634","102"
"156","4996","102"
"157","6535","102"
"158","7339","102"
"159","8886","102"
"160","9631","102"
"161","10475","102"
"162","11310","102"
"163","11345","102"
"164","11694","102"
"165","13673","102"
"166","14223","102"
"168","20099","102"
"169","22480","102"
"170","24581","102"
"172","32993","102"
"173","33320","102"
"174","33648","102"
"175","34699","102"
"176","40827","102"
"177","40855","102"
"178","44825","102"
"179","47735","102"
"180","50336","102"
"181","51209","102"
"182","51478","102"
"183","52743","102"
"184","52997","102"
"185","55956","102"
"186","58619","102"
"187","58818","102"
"188","58917","102"
"189","60598","102"
"190","61761","102"
"191","4833","103"
"192","18693","103"
"193","22501","103"
"194","64262","103"
"195","75148","103"
"196","78264","103"
"197","80801","103"
"198","86495","103"
"199","120473","103"
"200","135830","103"
"201","154807","103"
"202","159709","103"
"203","166120","103"
"204","167065","103"
"205","168364","103"
"206","172309","103"
"207","179392","103"
"208","184204","103"
"209","188880","103"
"210","198410","103"
"211","198420","103"
"212","201816","103"
"213","217498","103"
"214","218143","103"
"215","232633","103"
"216","236243","103"
"217","237290","103"
"218","266712","103"
"219","269752","103"
"220","271897","103"
"221","272619","103"
"222","281675","103"
"223","283136","103"
"224","285554","103"
"225","289854","103"
"226","294944","103"
"227","296642","103"
"228","300495","103"
"229","302656","103"
"230","303122","103"
"231","303949","103"
"232","307198","103"
"233","307979","103"
"234","310143","103"
"235","315955","103"
"236","325289","103"
"237","332068","103"
"238","332193","103"
"239","339296","103"
"242","2585","104"
"243","3200","104"
"244","3355","104"
"246","4235","104"
"247","4317","104"
"248","5010","104"
"249","5427","104"
"250","7917","104"
"252","12983","104"
"253","14530","104"
"258","36160","104"
"259","41787","104"
"260","45749","104"
"261","49327","104"
"263","51520","104"
"264","52066","104"
"265","55325","104"
"266","55464","104"
"267","59041","104"
"268","63358","104"
"269","63569","104"
"270","63642","104"
"272","68427","104"
"273","68539","104"
"274","75599","104"
"275","75814","104"
"276","77964","104"
"277","78305","104"
"278","82101","104"
"279","5","105"
"280","42","105"
"281","1906","105"
"282","2166","105"
"284","8113","105"
"287","34190","105"
"289","68669","105"
"291","83076","105"
"292","83606","105"
"293","87726","105"
"294","95603","105"
"295","96732","105"
"296","98430","105"
"297","100734","105"
"298","117285","105"
"299","133077","105"
"300","145386","105"
"301","153912","105"
"303","158482","105"
"304","159372","105"
"305","160568","105"
"306","167213","105"
"307","169518","105"
"308","179299","105"
"309","179332","105"
"310","182527","105"
"311","185262","105"
"312","187228","105"
"313","188922","105"
"314","195419","105"
"315","197067","105"
"316","197215","105"
"317","201231","105"
"318","201386","105"
"319","203583","105"
"320","204418","105"
"321","218276","105"
"322","219197","105"
"323","220971","105"
"324","222393","105"
"325","148","106"
"326","438","106"
"327","563","106"
"328","814","106"
"329","1244","106"
"330","2228","106"
"331","2617","106"
"332","3723","106"
"333","5147","106"
"334","6063","106"
"336","6458","106"
"337","6551","106"
"338","7469","106"
"339","8013","106"
"340","8040","106"
"341","9239","106"
"343","10546","106"
"344","13884","106"
"345","13969","106"
"346","14504","106"
"347","14662","106"
"348","17367","106"
"349","18497","106"
"350","18696","106"
"351","19092","106"
"352","19097","106"
"353","19913","106"
"354","19920","106"
"357","22373","106"
"358","25416","106"
"360","33753","106"
"361","40757","106"
"362","41192","106"
"363","42257","106"
"364","44264","106"
"365","44827","106"
"366","45508","106"
"367","47420","106"
"368","48631","106"
"370","49830","106"
"371","50727","106"
"372","16185","107"
"373","23993","107"
"374","45397","107"
"375","48305","107"
"376","75104","107"
"377","94636","107"
"378","127342","107"
"379","167038","107"
"380","169730","107"
"381","178479","107"
"382","189204","107"
"383","213697","107"
"384","235074","107"
"385","236829","107"
"386","254028","107"
"387","256640","107"
"388","265150","107"
"389","286536","107"
"390","289297","107"
"391","289543","107"
"392","298237","107"
"393","299248","107"
"394","312653","107"
"395","320972","107"
"396","321082","107"
"397","327043","107"
"398","330514","107"
"399","337216","107"
"400","341668","107"
"401","352470","107"
"402","364543","107"
"403","387030","107"
"404","400181","107"
"405","401260","107"
"406","402509","107"
"407","415927","107"
"408","417231","107"
"409","422596","107"
"410","423016","107"
"411","425167","107"
"412","457438","107"
"413","483052","107"
"414","497224","107"
"415","501392","107"
"416","504802","107"
"417","511973","107"
"418","520156","107"
"419","532304","107"
"420","547380","107"
"421","550305","107"
"422","4549","108"
"423","6596","108"
"424","7622","108"
"425","12766","108"
"430","18479","108"
"432","19964","108"
"433","20884","108"
"434","20916","108"
"435","31353","108"
"436","32234","108"
"437","34193","108"
"438","37436","108"
"439","37678","108"
"440","39693","108"
"441","40859","108"
"442","41565","108"
"443","42913","108"
"444","46084","108"
"445","46777","108"
"447","47734","108"
"448","48218","108"
"451","54214","108"
"452","54514","108"
"453","56681","108"
"454","58060","108"
"455","61610","108"
"456","61633","108"
"457","62239","108"
"458","65263","108"
"459","68953","108"
"460","74655","108"
"461","76658","108"
"462","76693","108"
"463","81313","108"
"464","84938","108"
"465","98742","108"
"466","99326","108"
"467","100399","108"
"468","105406","108"
"469","105758","108"
"470","107182","108"
"471","8","109"
"472","128","109"
"473","11248","109"
"474","20135","109"
"475","24556","109"
"476","24856","109"
"477","52338","109"
"478","83700","95"
"479","160231","95"
"480","161978","95"
"481","163080","95"
"482","192341","95"
"483","195321","95"
"484","225147","95"
"485","240274","95"
"486","283440","95"
"487","302442","95"
"488","310711","95"
"489","321445","95"
"490","323392","95"
"491","330516","95"
"492","335795","95"
"493","412163","95"
"494","420677","95"
"495","437594","95"
"496","459430","95"
"497","480475","95"
"498","507785","95"
"499","590332","95"
"500","775990","95"
"501","793617","95"
"502","922924","95"
"503","957766","95"
"504","991393","95"
"505","1016319","95"
"506","1176417","95"
"507","1249291","95"
"508","1264909","95"
"509","1308120","95"
"510","1313506","95"
"511","1359251","95"
"512","1372471","95"
"513","1386091","95"
"514","1398589","95"
"515","1408385","95"
"516","1433573","95"
"517","1440907","95"
"518","1450034","95"
"519","1482560","95"
"520","1491320","95"
"521","1505739","95"
"522","1509767","95"
"523","1557123","95"
"524","1580862","95"
"525","1643573","95"
"526","1656523","95"
"527","1664196","95"
"528","922062","97"
"529","1198635","97"
"530","1737134","97"
"531","1971294","97"
"532","3728593","97"
"533","3790348","97"
"534","4917161","97"
"535","9825718","97"
"536","63049511","97"
"537","89753371","97"
"538","107107561","97"
"539","151600211","97"
"540","215699735","97"
"541","176247","98"
"542","390260","98"
"543","553190","98"
"544","656063","98"
"545","674542","98"
"546","983859","98"
"547","1180659","98"
"548","1227784","98"
"549","1441380","98"
"550","1646842","98"
"551","2952220","98"
"552","3096329","98"
"553","3332132","98"
"554","3359962","98"
"555","3714435","98"
"556","3796552","98"
"557","5494883","98"
"558","5499218","98"
"559","5958719","98"
"560","6152550","98"
"561","6653159","98"
"562","7058166","98"
"563","7781794","98"
"564","7885538","98"
"565","8024396","98"
"566","8658807","98"
"567","9346381","98"
"568","9714335","98"
"569","10380658","98"
"570","10510010","98"
"571","12339269","98"
"572","12580804","98"
"573","12959636","98"
"574","14548173","98"
"575","14905281","98"
"576","15010824","98"
"577","15361649","98"
"578","15504754","98"
"579","15703142","98"
"580","16241316","98"
"581","16428170","98"
"582","16919750","98"
"583","17754896","98"
"584","20384532","98"
"585","20388431","98"
"586","20652355","98"
"587","20853572","98"
"588","21126519","98"
"589","22294116","98"
"590","29075341","98"
"591","16336","99"
"592","21903","99"
"593","27553","99"
"594","54264","99"
"595","55903","99"
"596","100166","99"
"597","151779","99"
"598","156263","99"
"599","172994","99"
"600","179667","99"
"601","211692","99"
"602","214062","99"
"604","248331","99"
"605","256240","99"
"606","276395","99"
"607","291572","99"
"608","293817","99"
"609","306677","99"
"610","308664","99"
"611","343861","99"
"612","347540","99"
"613","350702","99"
"614","363438","99"
"615","377825","99"
"616","404936","99"
"617","407421","99"
"618","415658","99"
"619","447009","99"
"620","483647","99"
"621","501121","99"
"622","501984","99"
"623","504146","99"
"624","506746","99"
"625","507585","99"
"626","556278","99"
"627","561453","99"
"628","568416","99"
"629","735924","99"
"630","815368","99"
"631","830282","99"
"632","836921","99"
"633","881909","99"
"634","895516","99"
"635","896051","99"
"636","1000261","99"
"637","1032679","99"
"638","1057236","99"
"639","1071660","99"
"640","10874","100"
"641","11858","100"
"642","16799","100"
"643","26294","100"
"644","45609","100"
"645","45813","100"
"646","48771","100"
"647","54504","100"
"648","83089","100"
"649","83609","100"
"650","119438","100"
"651","132789","100"
"652","159596","100"
"653","163071","100"
"654","166761","100"
"655","167665","100"
"656","168079","100"
"657","173080","100"
"658","190147","100"
"659","198070","100"
"660","198633","100"
"661","207334","100"
"662","207568","100"
"663","217986","100"
"664","222115","100"
"665","224135","100"
"666","228841","100"
"667","245526","100"
"668","245947","100"
"669","263031","100"
"670","271334","100"
"671","277784","100"
"672","282979","100"
"673","296503","100"
"674","296731","100"
"675","300211","100"
"676","300897","100"
"677","306727","100"
"678","309187","100"
"679","312814","100"
"680","314373","100"
"681","314672","100"
"682","315235","100"
"683","321749","100"
"684","335229","100"
"685","33925","101"
"687","86810","101"
"688","90198","101"
"689","121690","101"
"690","156825","101"
"691","159009","101"
"692","159606","101"
"693","173344","101"
"694","174087","101"
"695","180839","101"
"696","181102","101"
"697","184681","101"
"698","191293","101"
"699","225598","101"
"700","254647","101"
"701","264134","101"
"703","285408","101"
"705","306559","101"
"706","309364","101"
"707","334593","101"
"708","340599","101"
"709","341482","101"
"710","356769","101"
"711","360198","101"
"712","363104","101"
"713","370417","101"
"714","374874","101"
"715","383702","101"
"716","384897","101"
"717","392802","101"
"718","403245","101"
"719","417182","101"
"720","429321","101"
"721","435360","101"
"722","441255","101"
"723","463035","101"
"724","464911","101"
"725","478101","101"
"726","487156","101"
"727","503078","101"
"728","504015","101"
"729","513221","101"
"730","540275","101"
"731","131865","102"
"732","173076","102"
"733","281910","102"
"734","306928","102"
"735","331574","102"
"736","588662","102"
"737","683486","102"
"738","894596","102"
"739","1264879","102"
"740","1326595","102"
"741","1357390","102"
"742","1391429","102"
"743","1461939","102"
"744","1463916","102"
"745","1485570","102"
"746","1576879","102"
"747","1764759","102"
"748","1771363","102"
"749","1780060","102"
"750","1801375","102"
"751","2126477","102"
"752","2247246","102"
"753","2286937","102"
"754","2407951","102"
"755","2456159","102"
"756","2607469","102"
"757","2608163","102"
"758","2616887","102"
"759","2753378","102"
"760","2800450","102"
"761","2836101","102"
"762","2850897","102"
"763","2870619","102"
"764","3051185","102"
"765","3212323","102"
"766","3235280","102"
"767","3279470","102"
"768","3391285","102"
"769","3410287","102"
"770","3420844","102"
"771","3445227","102"
"772","3794922","102"
"773","3837961","102"
"774","3933994","102"
"775","3970835","102"
"776","3989778","102"
"777","4047520","102"
"778","4176082","102"
"779","4333505","102"
"780","4511","103"
"781","4918","103"
"783","8724","103"
"784","11168","103"
"785","14623","103"
"787","18112","103"
"788","22752","103"
"789","24386","103"
"790","29964","103"
"791","36728","103"
"792","42287","103"
"793","42822","103"
"794","44834","103"
"795","53298","103"
"796","57889","103"
"797","57989","103"
"798","60943","103"
"799","66515","103"
"800","69428","103"
"801","69551","103"
"802","75062","103"
"803","77175","103"
"804","83017","103"
"805","90513","103"
"806","93367","103"
"807","96694","103"
"808","97066","103"
"809","100804","103"
"810","101234","103"
"811","101413","103"
"812","102890","103"
"813","111611","103"
"814","118433","103"
"816","119998","103"
"817","124194","103"
"818","124890","103"
"819","132929","103"
"820","133378","103"
"821","137794","103"
"822","138862","103"
"823","140227","103"
"824","151604","103"
"825","246193","104"
"826","972178","104"
"827","2669021","104"
"828","2875711","104"
"829","5248280","104"
"830","5607973","104"
"831","6243056","104"
"832","6717434","104"
"833","7505737","104"
"834","9491557","104"
"835","10271790","104"
"836","14335999","104"
"837","14699795","104"
"838","16330096","104"
"839","16334952","104"
"840","20899158","104"
"841","21068844","104"
"842","21357501","104"
"843","21993910","104"
"844","25396451","104"
"845","30883171","104"
"846","31384741","104"
"847","34890181","104"
"848","39755831","104"
"849","45360381","104"
"850","48091741","104"
"851","51113351","104"
