"id","gid","json_tag"
"1","f1c7e462-7d08-430f-8255-dd2afec63f36","[{\"tag\":\"folk\"},{\"tag\":\"indie\"},{\"tag\":\"female vocalists\"},{\"tag\":\"singer-songwriter\"},{\"tag\":\"acoustic\"}]"
"2","85d76bfd-7a7f-4894-9df0-0b90c45e4c19","[{\"tag\":\"indie\"},{\"tag\":\"indie pop\"},{\"tag\":\"pop\"},{\"tag\":\"american\"},{\"tag\":\"all\"}]"
"3","7e9f48eb-9cd2-4167-b844-0f4b25cc3199","[{\"tag\":\"noise rock\"},{\"tag\":\"experimental\"},{\"tag\":\"indie rock\"},{\"tag\":\"noise\"},{\"tag\":\"indie\"}]"
"4","e7720ff7-d4f9-4cfb-ba39-c00e63572d13","[{\"tag\":\"noise rock\"},{\"tag\":\"neo-psychedelia\"},{\"tag\":\"lo-fi\"},{\"tag\":\"indie\"},{\"tag\":\"hard rock\"}]"
"5","df6a8115-03f3-4731-ada8-a8f7ab87132a","[{\"tag\":\"canadian\"},{\"tag\":\"indie\"},{\"tag\":\"electronic\"},{\"tag\":\"rock\"},{\"tag\":\"indie rock\"}]"
"6","20a41297-e27d-4c98-95c3-471b05327c3e","[{\"tag\":\"electronic\"},{\"tag\":\"avant-garde\"},{\"tag\":\"indie\"},{\"tag\":\"spoken word\"},{\"tag\":\"pop\"}]"
"7","1dae27d3-654f-4573-b917-3c40513908fd","[{\"tag\":\"indie\"},{\"tag\":\"indie rock\"},{\"tag\":\"acoustic\"},{\"tag\":\"singer-songwriter\"},{\"tag\":\"twee\"}]"
"8","ff5060a5-8d1f-4516-9592-0252a065fb00","[{\"tag\":\"indie pop\"},{\"tag\":\"folk\"},{\"tag\":\"indie\"},{\"tag\":\"female vocalists\"},{\"tag\":\"singer-songwriter\"}]"
"9","5e4e4d61-1ecc-462b-b6d5-79868054df0f","[{\"tag\":\"indie pop\"},{\"tag\":\"female vocalists\"},{\"tag\":\"folk pop\"},{\"tag\":\"jazz\"},{\"tag\":\"piano\"}]"
"10","9e55c75a-f1ee-4d27-9d9f-ae6076801485","[{\"tag\":\"post-rock\"},{\"tag\":\"instrumental\"},{\"tag\":\"alternative\"},{\"tag\":\"ambient\"},{\"tag\":\"post rock\"}]"
"11","90280fe3-6853-4935-9d65-ead97b8ab138","[{\"tag\":\"experimental\"},{\"tag\":\"psychedelic\"},{\"tag\":\"noise rock\"},{\"tag\":\"progressive rock\"},{\"tag\":\"indie\"}]"
"12","4b6aeeb8-db17-4d67-a9cb-2d3f8b841971","[{\"tag\":\"indie\"},{\"tag\":\"indie pop\"},{\"tag\":\"indie rock\"},{\"tag\":\"folk\"},{\"tag\":\"bands that would eat children if only they could fit a whole one inside their mouths\"}]"
"13","1e120e2b-b27f-4151-9495-207b31cf9114","[{\"tag\":\"experimental\"},{\"tag\":\"electronic\"},{\"tag\":\"jazz\"},{\"tag\":\"ambient\"},{\"tag\":\"funk\"}]"
"14","ef32f1b2-3841-4c8b-98fe-bb83320badec","[{\"tag\":\"indie\"},{\"tag\":\"female vocalists\"},{\"tag\":\"noise pop\"},{\"tag\":\"los angeles\"},{\"tag\":\"la\"}]"
"15","8c971da3-ae4c-490d-ae1e-1a73061cf14d","[{\"tag\":\"dubstep\"},{\"tag\":\"hip-hop\"},{\"tag\":\"hip hop\"},{\"tag\":\"electronic\"},{\"tag\":\"electro\"}]"
"16","c80f38a6-9980-485d-997c-5c1a9cbd0d64","[{\"tag\":\"singer-songwriter\"},{\"tag\":\"alt-country\"},{\"tag\":\"rock\"},{\"tag\":\"indie\"},{\"tag\":\"folk\"}]"
"17","763cf642-45ad-42ed-a1c3-e977eaa3b260","[{\"tag\":\"lo-fi\"},{\"tag\":\"noise pop\"},{\"tag\":\"noise rock\"},{\"tag\":\"psychedelic\"},{\"tag\":\"beach punk\"}]"
"18","a3ef8948-afef-45f4-ae6d-97d98f33fa85","[{\"tag\":\"electronic\"},{\"tag\":\"chillwave\"},{\"tag\":\"dream pop\"},{\"tag\":\"shoegaze\"},{\"tag\":\"indietronica\"}]"
"19","7e571e09-887e-4544-b993-eb75e7837ec1","[{\"tag\":\"ambient\"},{\"tag\":\"drone\"},{\"tag\":\"experimental\"},{\"tag\":\"shoegaze\"},{\"tag\":\"dark ambient\"}]"
"20","01d3c51b-9b98-418a-8d8e-37f6fab59d8c","[{\"tag\":\"indie\"},{\"tag\":\"folk\"},{\"tag\":\"singer-songwriter\"},{\"tag\":\"alternative\"},{\"tag\":\"indie rock\"}]"
"21","8d3c48f7-f8b7-49fd-b5d9-d23d52b7e2a0","[{\"tag\":\"lounge\"},{\"tag\":\"downtempo\"},{\"tag\":\"chillout\"},{\"tag\":\"acid jazz\"},{\"tag\":\"electronic\"}]"
"22","a4360723-48ba-4438-a781-31d9e6d6bacb","[{\"tag\":\"noise rock\"},{\"tag\":\"post-punk\"},{\"tag\":\"noise pop\"},{\"tag\":\"noise\"},{\"tag\":\"alternative rock\"}]"
"23","164f0d73-1234-4e2c-8743-d77bf2191051","[{\"tag\":\"hip-hop\"},{\"tag\":\"rap\"},{\"tag\":\"hip hop\"},{\"tag\":\"rnb\"},{\"tag\":\"kanye west\"}]"
"24","95e1ead9-4d31-4808-a7ac-32c3614c116b","[{\"tag\":\"indie\"},{\"tag\":\"rock\"},{\"tag\":\"indie rock\"},{\"tag\":\"alternative\"},{\"tag\":\"alternative rock\"}]"
"25","cd0f1940-fec8-41ac-ae87-380514eb4d28","[{\"tag\":\"noise\"},{\"tag\":\"electronic\"},{\"tag\":\"glitch\"},{\"tag\":\"experimental\"},{\"tag\":\"uso:unidentified sound object\"}]"
"26","d10af145-7811-4bd1-a5ee-908db3f19444","[{\"tag\":\"drone\"},{\"tag\":\"11\"},{\"tag\":\"finnish\"},{\"tag\":\"experimental\"},{\"tag\":\"psych-folk\"}]"
"27","165fbcc9-342a-43b2-bc4e-a96664ae12a5","[{\"tag\":\"ambient\"},{\"tag\":\"drone\"},{\"tag\":\"field recordings\"},{\"tag\":\"electronic\"},{\"tag\":\"experimental\"}]"
"28","9df31471-e54e-43ba-bbe8-38fd94c63dbb","[{\"tag\":\"folk\"},{\"tag\":\"indie\"},{\"tag\":\"indie rock\"},{\"tag\":\"alt-country\"},{\"tag\":\"austin\"}]"
"29","ef656595-bbe8-4386-8953-be8df9f54472","[{\"tag\":\"electronic\"},{\"tag\":\"indie\"},{\"tag\":\"new rave\"},{\"tag\":\"indietronica\"},{\"tag\":\"dance\"}]"
"30","f8edc50d-f18a-41f2-a44f-0a069bdd328f","[{\"tag\":\"indie rock\"},{\"tag\":\"indie\"},{\"tag\":\"rock\"},{\"tag\":\"surf\"},{\"tag\":\"punk\"}]"
"31","d3fee896-e05f-4e17-a3fe-6721a7af7e3e","[{\"tag\":\"indie pop\"},{\"tag\":\"lo-fi\"},{\"tag\":\"indie\"},{\"tag\":\"indie rock\"},{\"tag\":\"power-pop\"}]"
"32","bed91301-68b0-4d3d-9104-f8fb9ae76489","[{\"tag\":\"indie rock\"},{\"tag\":\"post-punk\"},{\"tag\":\"indie pop\"},{\"tag\":\"art rock\"},{\"tag\":\"female vocalists\"}]"
"33","1b8a8801-49a2-48a2-8c49-04fa34476b29","[{\"tag\":\"indie rock\"},{\"tag\":\"indie\"},{\"tag\":\"indie pop\"},{\"tag\":\"canadian\"},{\"tag\":\"alternative rock\"}]"
