"id","gid","male","female"
"87","6f6fd596-76e0-4b82-aa37-f558ac2d337b","4664","8123"
"88","b5232ddf-8e3c-4bde-a63f-47e88cb8ae11","7913","3567"
"89","3f19d594-f107-4937-9d84-5e9ffb75550e","6321","3740"
"90","ff711332-b409-44dd-ad1d-f7714f8906db","18248","10896"
"91","4069600e-55c1-46dd-814f-4166d5b5dbba","15631","6049"
"92","cc7d4686-ea02-45fd-956e-94c1a322558c","11149","21141"
"93","75a72702-a5ef-4513-bca5-c5b944903546","14581","19874"
"94","f5b8ea5f-c269-45dd-9936-1fedf3c56851","14419","18186"
"95","6a22414d-1cfd-47e1-a517-c68dcf46b490","1744","1883"
"96","7b1cf87e-c54f-4abc-893d-90245a31900d","5128","4344"
"97","e28dbf43-a2d9-4651-908f-1879ad67d30e","8920","25838"
"98","5a797e16-f69a-4957-820f-1152ec19d236","20005","5660"
"99","8eae1e0a-1696-4532-9e3c-0a072217ef4c","16733","7782"
"100","6bf3cbbf-be85-4ad3-8bc5-c4e96276828b","666","508"
"101","42e49814-6058-431c-80e2-a3aab424060d","3592","2636"
"102","f180cec2-9421-4417-a841-c7372090d13d","5595","5572"
"103","9d1ebcfe-4c15-4d18-95d3-d919898638a1","14364","10141"
"104","e4d05411-9a3d-452e-8b0e-a55b86b7cf85","11234","17494"
"105","e0e1db18-f7ba-4dee-95ff-7ae8cf545460","23208","15913"
"106","14039c7d-b67e-46cd-9cf3-f252d0e83879","1637","1136"
"107","fa97dd36-1b82-43d7-a6e4-2adeafd59cef","15078","16503"
"108","7f2a8098-50e3-451c-8696-c5d9f64f4762","6388","2597"
"109","b7834ebd-64ae-46c3-a930-2d3a52ee743a","13403","11896"
"110","70248960-cb53-4ea4-943a-edb18f7d336f","17746","12874"
"111","a186c93d-0f30-4c56-9265-98c0eba19242","5938","5390"
"112","f319b57a-a494-40f6-a467-3d196d3484e6","10261","5878"
"113","29776960-786c-4086-8079-ef5b83a0054c","21573","7484"
"114","f1df0431-9250-4ec8-95d8-f19ce7cf7fb6","10349","7295"
"115","ac9a487a-d9d2-4f27-bb23-0f4686488345","22198","21419"
"116","65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab","25310","9677"
"117","68025033-de1b-42f5-8a21-bedfb8895dda","3589","2540"
"118","c35ff804-9448-4dd5-9d23-e58d16513949","2445","2921"
"119","daeec599-bf5d-4428-994a-e76ba5f86e2f","13375","20060"
"120","af37c51c-0790-4a29-b995-456f98a6b8c9","15013","24165"
"121","a3cd61ef-7fd4-44af-a27f-99641a82b22b","6610","11465"
"122","87e58b4e-465c-4d8b-bfee-9c49ca8b7358","6428","8646"
"123","b46070be-5c2b-478b-bffd-42ab737ded69","2445","2404"
"124","edbc42ea-6040-4414-8c4c-9eb7d503f64c","10690","12036"
"125","55821c25-bd47-4f67-baf8-17ccd2cf1c86","9397","6697"
"126","2ec79a0d-8b5d-4db2-ad6b-e91b90499e87","4743","4761"
"127","55e21cfa-4bee-4795-940d-b1ff692fb17c","3291","3254"
"128","2e547c75-36c1-49d0-984e-b14498c936f0","12997","19803"
"129","69158f97-4c07-4c4e-baf8-4e4ab1ed666e","16979","8373"
"130","b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d","19291","22440"
"131","a47c3aa2-7d87-475c-a2c7-1e2047dafb09","20770","13889"
"132","6d7b7cd4-254b-4c25-83f6-dd20f98ceacd","16541","11870"
"133","59d34d63-e209-4f26-8a09-b08d12202082","7780","22525"
"134","52f34f97-084d-4cb2-94c6-aa384041e022","17168","11727"
"135","0e6b3a2c-6a42-4b43-a4f6-c6625c5855de","3666","5074"
"136","51aad2ec-44b2-4466-8c10-60018972e6c3","556","252"
"137","7b885d42-3c41-4f43-9944-a5855ec5155e","12490","18216"
"138","fb821608-35fd-4a45-a4b2-1a0537cee111","11845","19874"
"139","c485632c-b784-4ee9-8ea1-c5fb365681fc","14914","22771"
"140","55704c38-224f-4b75-b29f-d43653f8bc9a","15355","11044"
"141","cc433a77-176b-4d02-857b-2bfb68b3219c","8772","6941"
"142","4f416ed7-dda2-45de-a6f1-b986e861cf4b","12087","10090"
"143","8c3d5614-5b53-4701-8441-7c406e1dbc37","2091","1607"
"144","60f3050c-20cb-4e47-9d6e-1ecf5da30151","2969","2853"
"145","f36de6e2-f233-443d-942e-3dcba343ee78","4204","2831"
"146","195728d8-41c2-41d3-ba46-4da1f2126679","4855","3188"
"147","99a54f19-d8bb-4724-8242-23bc91454388","3003","2358"
"148","3584d6f6-62a5-4453-995c-66a7d6bd7a62","756","573"
"149","d0676301-7ffc-4ff6-8b38-f8aeb8553115","6255","5594"
"150","373faa02-74d7-4b1d-9b47-7574ad510f8d","3883","5614"
"151","8dd73d1a-0424-4581-af8c-ade3edb44c5a","9729","6219"
"152","ebfc1398-8d96-47e3-82c3-f782abcdb13d","7934","7839"
"153","e9aed5e5-ed35-4244-872e-194862290295","12255","11338"
"154","535707ce-ad97-4b73-946e-9ca27869fd3c","15712","13209"
"155","0de62cf7-6a41-4a33-bf34-8792d46c1d40","4910","5487"
"156","1d543e07-d0d2-4834-a8db-d65c50c2a856","10833","23866"
"157","1043a3a9-6722-4cdb-a28a-6acbad217b38","6245","9263"
"158","d38c47f6-d9bb-4a77-aaea-df53a6616a68","2530","1765"
"159","ff95eb47-41c4-4f7f-a104-cdc30f02e872","7799","3315"
"160","f6f2326f-6b25-4170-b89d-e235b25508e8","17670","16113"
"161","d27976fa-e535-42e4-ab53-846810870889","1133","673"
"162","38f953ac-af97-40b1-b95c-ab35cc0d7a81","14849","20087"
"163","f27ec8db-af05-4f36-916e-3d57f91ecf5e","17835","26811"
"164","a94a7155-c79d-4409-9fcf-220cb0e4dc3a","15714","13744"
"165","8ca01f46-53ac-4af2-8516-55a909c0905e","15213","9225"
"166","1f8e4ffd-b81b-4d10-91f4-461585bf9d16","15944","12545"
"167","735e3514-a8ae-401f-af3b-6300df1b8d2c","9331","7778"
"168","b665b768-0d83-4363-950c-31ed39317c15","16958","4918"
"169","8c7a8406-f15a-408d-b0f6-23be813bdddc","2796","1305"
"170","331ce348-1b08-40b9-8ed7-0763b92bd003","977","739"
"171","f4bf1b6d-c568-4f51-9b40-b275c30fe4a5","296","106"
"172","46e8a8ee-d2cd-4165-9725-02f72d0027a9","4524","2523"
"173","5a28f8c2-31fb-4047-ae57-c5c326989262","7889","2144"
"174","7d2092f4-6784-4776-8482-3b6cb4fe2f9a","9251","8722"
"175","b62ecfe7-b2e6-4d40-b7d2-8f12d3f51ed6","10545","9058"
"176","5700dcd4-c139-4f31-aa3e-6382b9af9032","16331","8198"
"177","6191360a-edc5-41d7-a83e-c9f0ab842f53","6799","6372"
"178","6805e4d5-f550-40fe-b731-05dc8229e74b","9903","7840"
"179","3994cab0-b3fd-44d3-9f7e-f0e14ba19ae0","1503","1200"
"180","194272cc-dcc8-4640-a4a6-66da7d250d5c","3140","2376"
"181","5441c29d-3602-4898-b1a1-b77fa23b8e50","11436","13506"
"182","89a879e1-d133-4ccb-87ae-3eedee44a05e","2693","2538"
"183","46a31d29-e073-44c8-b4de-54b31f37d0de","3603","3147"
"184","a41ac10f-0a56-4672-9161-b83f9b223559","14299","15584"
"185","b7ec4c54-1f93-4bf2-957f-7b9921ab84ea","4915","3561"
"186","2f9ecbed-27be-40e6-abca-6de49d50299e","2658","4240"
"187","72c536dc-7137-4477-a521-567eeb840fa8","16853","14814"
"188","37b94fc8-0adf-4335-a9fa-ae7a5fc36610","15933","16599"
"189","f37b3f31-b1f8-4b88-8cb5-b34f709b17d7","6666","4798"
"190","2c16cb3f-e85f-4158-889f-ffc038f5792d","1948","1429"
"191","3d113367-769f-4200-9ff8-e19d47def451","1953","1218"
